dataset,original_name,standardized_name,query_name,variant,canonical_binomial,gbif_status,gbif_matched_name,gbif_accepted_name,folder_path,image_count,magnification,distribution
BFS46,Acrocarpus fraxinifolius,acrocarpus fraxinifolius,acrocarpus fraxinifolius,,acrocarpus fraxinifolius,ACCEPTED,Acrocarpus fraxinifolius Wight & Arn.,Acrocarpus fraxinifolius Wight & Arn.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Acrocarpus fraxinifolius,17,,OOD
BFS46,Araucaria angustifolia,araucaria angustifolia,araucaria angustifolia,,araucaria angustifolia,ACCEPTED,Araucaria angustifolia (Bertol.) Kuntze,Araucaria angustifolia (Bertol.) Kuntze,/Users/admin/Downloads/Experimentals/datasets/BFS46/Araucaria angustifolia,55,,OOD
BFS46,Aspidosperma polyneuron,aspidosperma polyneuron,aspidosperma polyneuron,,aspidosperma polyneuron,ACCEPTED,Aspidosperma polyneuron Müll.Arg.,Aspidosperma polyneuron Müll.Arg.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Aspidosperma polyneuron,20,,OOD
BFS46,Aspidosperma sp,aspidosperma sp,aspidosperma sp,spp.,aspidosperma sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Aspidosperma sp,41,,OOD
BFS46,Bagassa guianensis,bagassa guianensis,bagassa guianensis,,bagassa guianensis,ACCEPTED,Bagassa guianensis Aubl.,Bagassa guianensis Aubl.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Bagassa guianensis,52,,OOD
BFS46,Balfourodendron riedelianum,balfourodendron riedelianum,balfourodendron riedelianum,,balfourodendron riedelianum,ACCEPTED,Balfourodendron riedelianum (Engl.) Engl.,Balfourodendron riedelianum (Engl.) Engl.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Balfourodendron riedelianum,61,,OOD
BFS46,Bertholletia excelsa,bertholletia excelsa,bertholletia excelsa,,bertholletia excelsa,ACCEPTED,Bertholletia excelsa Bonpl.,Bertholletia excelsa Bonpl.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Bertholletia excelsa,35,,OOD
BFS46,Bowdichia sp,bowdichia sp,bowdichia sp,spp.,bowdichia sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Bowdichia sp,68,,OOD
BFS46,Brosimum parinarioides,brosimum parinarioides,brosimum parinarioides,,brosimum parinarioides,ACCEPTED,Brosimum parinarioides Ducke,Brosimum parinarioides Ducke,/Users/admin/Downloads/Experimentals/datasets/BFS46/Brosimum parinarioides,25,,OOD
BFS46,Carapa guianensis,carapa guianensis,carapa guianensis,,carapa guianensis,ACCEPTED,Carapa guianensis Aubl.,Carapa guianensis Aubl.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Carapa guianensis,21,,OOD
BFS46,Cariniana estrellensis,cariniana estrellensis,cariniana estrellensis,,cariniana estrellensis,ACCEPTED,Cariniana estrellensis (Raddi) Kuntze,Cariniana estrellensis (Raddi) Kuntze,/Users/admin/Downloads/Experimentals/datasets/BFS46/Cariniana estrellensis,36,,OOD
BFS46,Cedrela fissilis,cedrela fissilis,cedrela fissilis,,cedrela fissilis,ACCEPTED,Cedrela fissilis Vell.,Cedrela fissilis Vell.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Cedrela fissilis,22,,OOD
BFS46,Cedrelinga cateniformis,cedrelinga cateniformis,cedrelinga cateniformis,,cedrelinga cateniformis,ACCEPTED,Cedrelinga cateniformis (Ducke) Ducke,Cedrelinga cateniformis (Ducke) Ducke,/Users/admin/Downloads/Experimentals/datasets/BFS46/Cedrelinga cateniformis,65,,OOD
BFS46,Cordia goeldiana,cordia goeldiana,cordia goeldiana,,cordia goeldiana,ACCEPTED,Cordia goeldiana Huber,Cordia goeldiana Huber,/Users/admin/Downloads/Experimentals/datasets/BFS46/Cordia goeldiana,36,,OOD
BFS46,Couratari sp,couratari sp,couratari sp,spp.,couratari sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Couratari sp,41,,OOD
BFS46,Dipteryx sp,dipteryx sp,dipteryx sp,spp.,dipteryx sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Dipteryx sp,27,,OOD
BFS46,Erisma uncinatum,erisma uncinatum,erisma uncinatum,,erisma uncinatum,ACCEPTED,Erisma uncinatum Warm.,Erisma uncinatum Warm.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Erisma uncinatum,58,,OOD
BFS46,Eucalyptus sp,eucalyptus sp,eucalyptus sp,spp.,eucalyptus sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Eucalyptus sp,27,,OOD
BFS46,Eugenia pyriformis,eugenia pyriformis,eugenia pyriformis,,eugenia pyriformis,ACCEPTED,Eugenia pyriformis Cambess.,Eugenia pyriformis Cambess.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Eugenia pyriformis,35,,OOD
BFS46,Euxylophora paraensis,euxylophora paraensis,euxylophora paraensis,,euxylophora paraensis,ACCEPTED,Euxylophora paraensis Huber,Euxylophora paraensis Huber,/Users/admin/Downloads/Experimentals/datasets/BFS46/Euxylophora paraensis,66,,OOD
BFS46,Goupia glabra,goupia glabra,goupia glabra,,goupia glabra,ACCEPTED,Goupia glabra Aubl.,Goupia glabra Aubl.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Goupia glabra,32,,OOD
BFS46,Grevillea robusta,grevillea robusta,grevillea robusta,,grevillea robusta,ACCEPTED,Grevillea robusta A.Cunn. ex R.Br.,Grevillea robusta A.Cunn. ex R.Br.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Grevillea robusta,48,,OOD
BFS46,Handroanthus sp,handroanthus sp,handroanthus sp,spp.,handroanthus sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Handroanthus sp,33,,OOD
BFS46,Hymenaea sp,hymenaea sp,hymenaea sp,spp.,hymenaea sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Hymenaea sp,32,,OOD
BFS46,Hymenolobium petraeum,hymenolobium petraeum,hymenolobium petraeum,,hymenolobium petraeum,ACCEPTED,Hymenolobium petraeum Ducke,Hymenolobium petraeum Ducke,/Users/admin/Downloads/Experimentals/datasets/BFS46/Hymenolobium petraeum,28,,OOD
BFS46,Hymenolobium sp,hymenolobium sp,hymenolobium sp,spp.,hymenolobium sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Hymenolobium sp,28,,OOD
BFS46,Inga vera,inga vera,inga vera,,inga vera,ACCEPTED,Inga vera Willd.,Inga vera Willd.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Inga vera,40,,OOD
BFS46,Laurus nobilis,laurus nobilis,laurus nobilis,,laurus nobilis,ACCEPTED,Laurus nobilis L.,Laurus nobilis L.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Laurus nobilis,36,,OOD
BFS46,Machaerium paraguariense,machaerium paraguariense,machaerium paraguariense,,machaerium paraguariense,SYNONYM,Machaerium paraguariense Hassl.,Machaerium paraguariense Hassl.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Machaerium paraguariense,37,,OOD
BFS46,Machaerium sp,machaerium sp,machaerium sp,spp.,machaerium sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Machaerium sp,15,,OOD
BFS46,Manilkara elata,manilkara elata,manilkara elata,,manilkara elata,ACCEPTED,Manilkara elata (Allemão ex Miq.) Monach.,Manilkara elata (Allemão ex Miq.) Monach.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Manilkara elata,39,,OOD
BFS46,Melia azedarach,melia azedarach,melia azedarach,,melia azedarach,ACCEPTED,Melia azedarach L.,Melia azedarach L.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Melia azedarach,47,,OOD
BFS46,Mezilaurus itauba,mezilaurus itauba,mezilaurus itauba,,mezilaurus itauba,SYNONYM,Mezilaurus itauba (Meissner) Taubert,Mezilaurus itauba (Meissner) Taubert,/Users/admin/Downloads/Experimentals/datasets/BFS46/Mezilaurus itauba,83,,OOD
BFS46,Micropholis venulosa,micropholis venulosa,micropholis venulosa,,micropholis venulosa,ACCEPTED,Micropholis venulosa (Mart. & Eichler) Pierre,Micropholis venulosa (Mart. & Eichler) Pierre,/Users/admin/Downloads/Experimentals/datasets/BFS46/Micropholis venulosa,71,,OOD
BFS46,Mimosa scabrella,mimosa scabrella,mimosa scabrella,,mimosa scabrella,ACCEPTED,Mimosa scabrella Benth.,Mimosa scabrella Benth.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Mimosa scabrella,30,,OOD
BFS46,Muellera campestris,muellera campestris,muellera campestris,,muellera campestris,ACCEPTED,Muellera campestris (Mart. ex Benth.) M.J.Silva & A.M.G.Azevedo,Muellera campestris (Mart. ex Benth.) M.J.Silva & A.M.G.Azevedo,/Users/admin/Downloads/Experimentals/datasets/BFS46/Muellera campestris,39,,OOD
BFS46,Myroxylon balsamum,myroxylon balsamum,myroxylon balsamum,,myroxylon balsamum,ACCEPTED,Myroxylon balsamum (L.) Harms,Myroxylon balsamum (L.) Harms,/Users/admin/Downloads/Experimentals/datasets/BFS46/Myroxylon balsamum,53,,OOD
BFS46,Nectandra megapotamica,nectandra megapotamica,nectandra megapotamica,,nectandra megapotamica,ACCEPTED,Nectandra megapotamica (Spreng.) Mez,Nectandra megapotamica (Spreng.) Mez,/Users/admin/Downloads/Experimentals/datasets/BFS46/Nectandra megapotamica,28,,OOD
BFS46,Ocotea indecora,ocotea indecora,ocotea indecora,,ocotea indecora,SYNONYM,Ocotea indecora Schott ex Meisn.,Ocotea indecora Schott ex Meisn.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Ocotea indecora,36,,OOD
BFS46,Ocotea porosa,ocotea porosa,ocotea porosa,,ocotea porosa,ACCEPTED,Ocotea porosa (Mez) Barroso,Ocotea porosa (Mez) Barroso,/Users/admin/Downloads/Experimentals/datasets/BFS46/Ocotea porosa,46,,OOD
BFS46,Peltogyne sp,peltogyne sp,peltogyne sp,spp.,peltogyne sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Peltogyne sp,60,,OOD
BFS46,Pinus sp,pinus sp,pinus sp,spp.,pinus sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Pinus sp,42,,OOD
BFS46,Pouteria pachycarpa,pouteria pachycarpa,pouteria pachycarpa,,pouteria aubl.,ACCEPTED,Pouteria Aubl.,Pouteria Aubl.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Pouteria pachycarpa,47,,OOD
BFS46,Simarouba amara,simarouba amara,simarouba amara,,simarouba amara,ACCEPTED,Simarouba amara Aubl.,Simarouba amara Aubl.,/Users/admin/Downloads/Experimentals/datasets/BFS46/Simarouba amara,30,,OOD
BFS46,Swietenia macrophylla,swietenia macrophylla,swietenia macrophylla,,swietenia macrophylla,ACCEPTED,Swietenia macrophylla G.King,Swietenia macrophylla G.King,/Users/admin/Downloads/Experimentals/datasets/BFS46/Swietenia macrophylla,70,,OOD
BFS46,Vochysia sp,vochysia sp,vochysia sp,spp.,vochysia sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BFS46/Vochysia sp,43,,OOD
DTSR14,jodla,abies alba,abies alba,,abies alba,ACCEPTED,Abies alba Mill.,Abies alba Mill.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/jodla,298,,OOD
DTSR14,jawor,acer pseudoplatanus,acer pseudoplatanus,,acer pseudoplatanus,ACCEPTED,Acer pseudoplatanus L.,Acer pseudoplatanus L.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/jawor,562,,OOD
DTSR14,olsza,alnus glutinosa,alnus glutinosa,,alnus glutinosa,ACCEPTED,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa (L.) Gaertn.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/olsza,684,,OOD
DTSR14,brzoza,betula pendula,betula pendula,,betula pendula,ACCEPTED,Betula pendula Roth,Betula pendula Roth,/Users/admin/Downloads/Experimentals/datasets/DTSR14/brzoza,556,,OOD
DTSR14,grab,carpinus betulus,carpinus betulus,,carpinus betulus,ACCEPTED,Carpinus betulus L.,Carpinus betulus L.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/grab,173,,OOD
DTSR14,buk,fagus sylvatica,fagus sylvatica,,fagus sylvatica,ACCEPTED,Fagus sylvatica L.,Fagus sylvatica L.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/buk,242,,OOD
DTSR14,jesion,fraxinus excelsior,fraxinus excelsior,,fraxinus excelsior,ACCEPTED,Fraxinus excelsior L.,Fraxinus excelsior L.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/jesion,2812,,OOD
DTSR14,modrzew,larix decidua,larix decidua,,larix decidua,ACCEPTED,Larix decidua Mill.,Larix decidua Mill.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/modrzew,300,,OOD
DTSR14,swierk,picea abies,picea abies,,picea abies,ACCEPTED,Picea abies (L.) H.Karst.,Picea abies (L.) H.Karst.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/swierk,241,,OOD
DTSR14,sosna,pinus sylvestris,pinus sylvestris,,pinus sylvestris,ACCEPTED,Pinus sylvestris L.,Pinus sylvestris L.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/sosna,273,,OOD
DTSR14,dab,quercus robur,quercus robur,,quercus robur,ACCEPTED,Quercus robur L.,Quercus robur L.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/dab,1098,,OOD
DTSR14,wierzba,salix alba,salix alba,,salix alba,ACCEPTED,Salix alba L.,Salix alba L.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/wierzba,78,,OOD
DTSR14,lipa,tilia cordata,tilia cordata,,tilia cordata,ACCEPTED,Tilia cordata Mill.,Tilia cordata Mill.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/lipa,370,,OOD
DTSR14,wiazy,ulmus glabra,ulmus glabra,,ulmus glabra,ACCEPTED,Ulmus glabra Huds.,Ulmus glabra Huds.,/Users/admin/Downloads/Experimentals/datasets/DTSR14/wiazy,1216,,OOD
FSDM41,Acrocarpus fraxinifolius,acrocarpus fraxinifolius,acrocarpus fraxinifolius,,acrocarpus fraxinifolius,ACCEPTED,Acrocarpus fraxinifolius Wight & Arn.,Acrocarpus fraxinifolius Wight & Arn.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Acrocarpus fraxinifolius,48,,OOD
FSDM41,Araucaria angustifolia,araucaria angustifolia,araucaria angustifolia,,araucaria angustifolia,ACCEPTED,Araucaria angustifolia (Bertol.) Kuntze,Araucaria angustifolia (Bertol.) Kuntze,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Araucaria angustifolia,63,,OOD
FSDM41,Aspidosperma polyneuron,aspidosperma polyneuron,aspidosperma polyneuron,,aspidosperma polyneuron,ACCEPTED,Aspidosperma polyneuron Müll.Arg.,Aspidosperma polyneuron Müll.Arg.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Aspidosperma polyneuron,53,,OOD
FSDM41,Bagassa guianensis,bagassa guianensis,bagassa guianensis,,bagassa guianensis,ACCEPTED,Bagassa guianensis Aubl.,Bagassa guianensis Aubl.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Bagassa guianensis,96,,OOD
FSDM41,Balfourodendron riedelianum,balfourodendron riedelianum,balfourodendron riedelianum,,balfourodendron riedelianum,ACCEPTED,Balfourodendron riedelianum (Engl.) Engl.,Balfourodendron riedelianum (Engl.) Engl.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Balfourodendron riedelianum,62,,OOD
FSDM41,Bertholethia excelsa,bertholletia excelsa,bertholletia excelsa,,bertholletia excelsa,ACCEPTED,Bertholletia excelsa Bonpl.,Bertholletia excelsa Bonpl.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Bertholethia excelsa,99,,OOD
FSDM41,Bowdichia sp,bowdichia sp,bowdichia sp,spp.,bowdichia sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Bowdichia sp,67,,OOD
FSDM41,Brosimum paraense,brosimum paraense,brosimum paraense,,brosimum paraense,SYNONYM,Brosimum paraense Huber,Brosimum paraense Huber,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Brosimum paraense,92,,OOD
FSDM41,Carapa guianensis,carapa guianensis,carapa guianensis,,carapa guianensis,ACCEPTED,Carapa guianensis Aubl.,Carapa guianensis Aubl.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Carapa guianensis,82,,OOD
FSDM41,Cariniana estrellensis,cariniana estrellensis,cariniana estrellensis,,cariniana estrellensis,ACCEPTED,Cariniana estrellensis (Raddi) Kuntze,Cariniana estrellensis (Raddi) Kuntze,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Cariniana estrellensis,99,,OOD
FSDM41,Cedrela fissilis,cedrela fissilis,cedrela fissilis,,cedrela fissilis,ACCEPTED,Cedrela fissilis Vell.,Cedrela fissilis Vell.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Cedrela fissilis,55,,OOD
FSDM41,Cedrelinga catenaeformis,cedrelinga cateniformis,cedrelinga cateniformis,,cedrelinga cateniformis,ACCEPTED,Cedrelinga cateniformis (Ducke) Ducke,Cedrelinga cateniformis (Ducke) Ducke,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Cedrelinga catenaeformis,78,,OOD
FSDM41,Cordia goeldiana,cordia goeldiana,cordia goeldiana,,cordia goeldiana,ACCEPTED,Cordia goeldiana Huber,Cordia goeldiana Huber,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Cordia goeldiana,99,,OOD
FSDM41,Cordia sp,cordia sp,cordia sp,spp.,cordia sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Cordia sp,63,,OOD
FSDM41,Couratari sp,couratari sp,couratari sp,spp.,couratari sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Couratari sp,64,,OOD
FSDM41,Dipteryx sp,dipteryx sp,dipteryx sp,spp.,dipteryx sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Dipteryx sp,99,,OOD
FSDM41,Erisma uncinatum,erisma uncinatum,erisma uncinatum,,erisma uncinatum,ACCEPTED,Erisma uncinatum Warm.,Erisma uncinatum Warm.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Erisma uncinatum,63,,OOD
FSDM41,Eucalyptus sp,eucalyptus sp,eucalyptus sp,spp.,eucalyptus sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Eucalyptus sp,96,,OOD
FSDM41,Euxylophora paraensis,euxylophora paraensis,euxylophora paraensis,,euxylophora paraensis,ACCEPTED,Euxylophora paraensis Huber,Euxylophora paraensis Huber,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Euxylophora paraensis,59,,OOD
FSDM41,Goupia glabra,goupia glabra,goupia glabra,,goupia glabra,ACCEPTED,Goupia glabra Aubl.,Goupia glabra Aubl.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Goupia glabra,99,,OOD
FSDM41,Grevilea robusta,grevillea robusta,grevillea robusta,,grevillea robusta,ACCEPTED,Grevillea robusta A.Cunn. ex R.Br.,Grevillea robusta A.Cunn. ex R.Br.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Grevilea robusta,79,,OOD
FSDM41,Hura crepitans,hura crepitans,hura crepitans,,hura crepitans,ACCEPTED,Hura crepitans L.,Hura crepitans L.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Hura crepitans,41,,OOD
FSDM41,Hymenaea sp,hymenaea sp,hymenaea sp,spp.,hymenaea sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Hymenaea sp,75,,OOD
FSDM41,Hymenolobium petraeum,hymenolobium petraeum,hymenolobium petraeum,,hymenolobium petraeum,ACCEPTED,Hymenolobium petraeum Ducke,Hymenolobium petraeum Ducke,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Hymenolobium petraeum,98,,OOD
FSDM41,Laurus nobilis,laurus nobilis,laurus nobilis,,laurus nobilis,ACCEPTED,Laurus nobilis L.,Laurus nobilis L.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Laurus nobilis,86,,OOD
FSDM41,Machaerium sp,machaerium sp,machaerium sp,spp.,machaerium sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Machaerium sp,56,,OOD
FSDM41,Manilkara huberi,manilkara huberi,manilkara huberi,,manilkara huberi,ACCEPTED,Manilkara huberi (Ducke) Standl.,Manilkara huberi (Ducke) Standl.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Manilkara huberi,58,,OOD
FSDM41,Melia azedarach,melia azedarach,melia azedarach,,melia azedarach,ACCEPTED,Melia azedarach L.,Melia azedarach L.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Melia azedarach,46,,OOD
FSDM41,Mezilaurus itauba,mezilaurus itauba,mezilaurus itauba,,mezilaurus itauba,SYNONYM,Mezilaurus itauba (Meissner) Taubert,Mezilaurus itauba (Meissner) Taubert,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Mezilaurus itauba,94,,OOD
FSDM41,Micropholis venulosa,micropholis venulosa,micropholis venulosa,,micropholis venulosa,ACCEPTED,Micropholis venulosa (Mart. & Eichler) Pierre,Micropholis venulosa (Mart. & Eichler) Pierre,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Micropholis venulosa,58,,OOD
FSDM41,Mimosa scabrella,mimosa scabrella,mimosa scabrella,,mimosa scabrella,ACCEPTED,Mimosa scabrella Benth.,Mimosa scabrella Benth.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Mimosa scabrella,51,,OOD
FSDM41,Myroxylon balsamum,myroxylon balsamum,myroxylon balsamum,,myroxylon balsamum,ACCEPTED,Myroxylon balsamum (L.) Harms,Myroxylon balsamum (L.) Harms,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Myroxylon balsamum,37,,OOD
FSDM41,Ocotea porosa,ocotea porosa,ocotea porosa,,ocotea porosa,ACCEPTED,Ocotea porosa (Mez) Barroso,Ocotea porosa (Mez) Barroso,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Ocotea porosa,53,,OOD
FSDM41,Peltogyne sp,peltogyne sp,peltogyne sp,spp.,peltogyne sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Peltogyne sp,72,,OOD
FSDM41,Pinus sp,pinus sp,pinus sp,spp.,pinus sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Pinus sp,99,,OOD
FSDM41,Podocarpus lambertii,podocarpus lambertii,podocarpus lambertii,,podocarpus lambertii,ACCEPTED,Podocarpus lambertii Klotzsch ex Endl.,Podocarpus lambertii Klotzsch ex Endl.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Podocarpus lambertii,43,,OOD
FSDM41,Pouteria pachycarpa,pouteria pachycarpa,pouteria pachycarpa,,pouteria aubl.,ACCEPTED,Pouteria Aubl.,Pouteria Aubl.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Pouteria pachycarpa,99,,OOD
FSDM41,Swietenia macrophylla,swietenia macrophylla,swietenia macrophylla,,swietenia macrophylla,ACCEPTED,Swietenia macrophylla G.King,Swietenia macrophylla G.King,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Swietenia macrophylla,87,,OOD
FSDM41,Tabebuia sp,tabebuia sp,tabebuia sp,spp.,tabebuia sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Tabebuia sp,43,,OOD
FSDM41,Virola surinamensis,virola surinamensis,virola surinamensis,,virola surinamensis,ACCEPTED,Virola surinamensis (Rol. ex Rottb.) Warb.,Virola surinamensis (Rol. ex Rottb.) Warb.,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Virola surinamensis,51,,OOD
FSDM41,Vochysia sp,vochysia sp,vochysia sp,spp.,vochysia sp.,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/FSDM41/Vochysia sp,80,,OOD
