metric_id,metric_family,evidence_status,value,display_value,source,source_sha256,source_rows,protocol,scientific_role,paper_label
tierc_distributional_drift_r_ci_high,real_shift_drift_drop,uncertainty,0.3949759309684354,0.395,results/csv/exp_tierc_cross_source_summary.csv,3f6800eed92c9b770d7f8fa720ecc02e224b320f99e6e0e6bb1f51e2e623caf1,1,Record-bootstrap interval over Tier-C species--direction--backbone cells.,Uncertainty for the qualitative Tier-C drift/drop direction.,"$[0.264,0.395]$"
tierd_distributional_drift_r_ci_low,real_shift_drift_drop,uncertainty,0.3809282334061639,0.381,results/csv/exp5_crossmag_asymmetry_summary.csv,6b40674c9f8719008c27ea4b8c447d0f07eb6d7b49e203c566b0bf575178fb17,1,Record-bootstrap interval over Tier-D directed backbone--magnification cells.,Uncertainty for the VN26 cross-magnification drift/drop association.,"$[0.381,0.748]$"
tierd_distributional_drift_r_ci_high,real_shift_drift_drop,uncertainty,0.7475995033000006,0.748,results/csv/exp5_crossmag_asymmetry_summary.csv,6b40674c9f8719008c27ea4b8c447d0f07eb6d7b49e203c566b0bf575178fb17,1,Record-bootstrap interval over Tier-D directed backbone--magnification cells.,Uncertainty for the VN26 cross-magnification drift/drop association.,"$[0.381,0.748]$"
condition_level_paired_drift_auc,failure_detection_auc,diagnostic_oracle,0.9747127348908072,0.975,results/csv/exp8_detector_auc.csv,60ba4c1e45172634eb1e075267348a2041ed21785985da7940c6e54d417ce798,8,"Condition-level diagnostic benchmark over 1,596 Tier-A records.",Oracle diagnostic AUC; not a deployable reference-bank score.,condition-level ROC-AUC
batch_level_paired_drift_auc,failure_detection_auc,batch_oracle,0.976259742911098,0.976,results/csv/exp10_reference_monitor_auc.csv,fa0a80a304b5306c6e545848c86d983e1c5184e4c77d7bbd903addc57a11bf36,7,"Batch-level monitor benchmark over 4,256 records.",Paired-clean oracle used only as an upper comparator for the monitor.,batch-level ROC-AUC
batch_level_mmd_auc,failure_detection_auc,primary_monitor,0.9684888343592984,0.968,results/csv/exp10_reference_monitor_auc.csv,fa0a80a304b5306c6e545848c86d983e1c5184e4c77d7bbd903addc57a11bf36,7,Batch-level capped reference-bank monitor benchmark.,Primary label-free binary acquisition-mismatch detection result.,RBF-MMD reaches batch-level ROC-AUC
tierc_bfs_fsdm_full_mmd,tier_c_mmd_magnitude,primary_full_feature,0.1017678465162004,0.102,results/csv/exp_mmd_confound_summary.csv,3b0662bbf1ca6660c4a22a9160453b2f57800b32117ff02217f21f4c61d1dadd,1,"Full-feature, per-pair median-bandwidth Tier-C decomposition.",Marginal shift magnitude for cross-source comparison; not an alarm score.,mean MMD magnitude (0.102)
tierc_dtsr_woodauth_full_mmd,tier_c_mmd_magnitude,primary_full_feature,0.1928172281810215,0.193,results/csv/exp_mmd_confound_summary.csv,3b0662bbf1ca6660c4a22a9160453b2f57800b32117ff02217f21f4c61d1dadd,1,"Full-feature, per-pair median-bandwidth Tier-C decomposition.",Marginal shift magnitude for cross-source comparison; not an alarm score.,full-feature decomposition confirms
tierc_bfs_fsdm_shared_gamma_mmd,tier_c_mmd_magnitude,bandwidth_control,0.0968321646962847,0.097,results/csv/exp_mmd_gamma_sensitivity_summary.csv,a63e07bbd7d6310a496ba52d7475b686341548972e1f375bbb78c6b93b16e355,4,Shared global RBF bandwidth across real-shift comparisons.,"Bandwidth sensitivity control, not the primary magnitude estimate.",Shared median & 0.097
tierc_dtsr_woodauth_shared_gamma_mmd,tier_c_mmd_magnitude,bandwidth_control,0.1842054554394313,0.184,results/csv/exp_mmd_gamma_sensitivity_summary.csv,a63e07bbd7d6310a496ba52d7475b686341548972e1f375bbb78c6b93b16e355,4,Shared global RBF bandwidth across real-shift comparisons.,"Bandwidth sensitivity control, not the primary magnitude estimate.",Shared median & 0.097 & 0.184
matched_four_species_mmd,tier_c_mmd_magnitude,class_count_control,0.2087830288069589,0.209,results/csv/exp_mmd_confound_summary.csv,3b0662bbf1ca6660c4a22a9160453b2f57800b32117ff02217f21f4c61d1dadd,1,Twenty four-species draws from BFS46/FSDM41.,Shared-class-count sensitivity analysis.,mean MMD from 0.102 to 0.209
severity_rho_predefined_order,mmd_severity_ranking,coarse_intended_order,0.3,0.300,results/csv/exp_monitor_on_real_shift_summary.csv,6a24a98f654bdb56b5a53a1513aba1ee39071638e6fe4511a48bb45775c64332,1,Five coarse groups ordered a priori as clean/Tier-B/Tier-D/Tier-C.,Agreement with intended tier ordering.,predefined severity ordering is $\rho=0.300$
severity_rho_eight_measured_groups,mmd_severity_ranking,primary_measured_failure,0.5476190476190477,0.548,results/csv/exp_monitor_severity_dissociation_summary.csv,0c69e3c62226ea29a23df66b7baf5a61c7b81bdf0374217afea0075ed3822b24,1,Eight condition groups using the capped reference-bank score and measured failure.,Primary evidence that MMD magnitude is not a calibrated severity gauge.,eight condition groups
severity_rho_six_group_bandwidth_control,mmd_severity_ranking,bandwidth_control,0.4857142857142857,0.486,results/csv/exp_mmd_gamma_sensitivity_summary.csv,a63e07bbd7d6310a496ba52d7475b686341548972e1f375bbb78c6b93b16e355,4,Six clean and real-shift groups under a shared global bandwidth.,Coarser aggregation used only in the bandwidth sensitivity analysis.,$\rho=0.548$ over eight condition groups and $\rho=0.486$
matched_bfs_fsdm_accuracy,matched_class_transfer,sampled_pair,0.19483596129789,0.195,results/csv/exp_matched_class_dissociation_summary.csv,42c61df5ac230aeaf86636b9d413f1d9d15141d0787057a3ce02466f96b6760a,2,Mean kNN-5 transfer accuracy over twenty matched four-species draws.,Class-conditional transfer after controlling shared-class count.,accuracies are 0.195 and 0.320
matched_dtsr_woodauth_accuracy,matched_class_transfer,fixed_reference_pair,0.3195830098343685,0.320,results/csv/exp_matched_class_dissociation_summary.csv,42c61df5ac230aeaf86636b9d413f1d9d15141d0787057a3ce02466f96b6760a,2,Fixed four-species cross-source comparison.,Reference class-conditional transfer accuracy.,accuracies are 0.195 and 0.320
